Date,Close,declining,advancing,dec_vol,adv_vol
2016-03-14,2019.5,1726.0,1351.0,2112622968.0,1299621368.0
2016-03-15,2015.3,2291.0,811.0,2676053730.0,833200855.0
2016-03-16,2027.0,594.0,2528.0,1006830082.0,2934279260.0
2016-03-17,2041.0,640.0,2488.0,976702815.0,3486779444.0
2016-03-18,2037.5,1200.0,1902.0,2463683194.0,3688679700.0
2016-03-21,2043.0,1529.0,1549.0,1536183059.0,1761117780.0
2016-03-22,2042.8,1625.0,1445.0,1928551339.0,1361845704.0
2016-03-23,2028.5,2301.0,811.0,3067994762.0,539182882.0
2016-03-24,2028.2,1503.0,1570.0,1437728584.0,1897552987.0
2016-03-28,2027.5,1319.0,1770.0,1345040552.0,1369932972.0
2016-03-29,2047.5,629.0,2476.0,1055261649.0,2641743252.0
2016-03-30,2055.0,1132.0,1931.0,1160425751.0,2303759157.0
2016-03-31,2053.5,1387.0,1696.0,1737355577.0,1834990301.0
2016-04-01,2064.5,1610.0,1484.0,1745737665.0,1918685840.0
2016-04-04,2057.8,2282.0,825.0,2542824781.0,890640437.0
2016-04-05,2039.0,2166.0,930.0,2707874354.0,1358736921.0
2016-04-06,2060.0,768.0,2321.0,796515980.0,2837635223.0
2016-04-07,2035.0,2384.0,710.0,2907016584.0,792994752.0
2016-04-08,2040.2,762.0,2337.0,889769330.0,2431543568.0
2016-04-11,2034.3,1245.0,1836.0,1295884728.0,2209933136.0
2016-04-12,2055.5,627.0,2455.0,599141903.0,3563946001.0
2016-04-13,2076.0,712.0,2412.0,983221624.0,3130524245.0
2016-04-14,2077.0,1699.0,1353.0,1992308721.0,1696729754.0
2016-04-15,2075.0,1432.0,1640.0,1877964003.0,1743461220.0
2016-04-18,2086.5,838.0,2256.0,861731231.0,2396409984.0
2016-04-19,2093.5,937.0,2148.0,767406499.0,3055728386.0
2016-04-20,2098.0,1310.0,1753.0,1476370753.0,2563168063.0
2016-04-21,2082.7,1949.0,1118.0,2785601399.0,1284525148.0
2016-04-22,2086.0,913.0,2165.0,1163946026.0,2534185167.0
2016-04-25,2083.0,2066.0,1021.0,2475782127.0,779180922.0
2016-04-26,2088.5,706.0,2374.0,758333321.0,2710058074.0
2016-04-27,2091.0,928.0,2164.0,973059302.0,3038896192.0
2016-04-28,2072.0,2004.0,1059.0,2819262264.0,1412513770.0
2016-04-29,2060.3,1750.0,1308.0,2754006555.0,1847862674.0
2016-05-02,2074.5,1133.0,1946.0,1694855652.0,2062420706.0
2016-05-03,2056.5,2330.0,767.0,3466856702.0,629958037.0
2016-05-04,2046.7,1857.0,1222.0,2893568200.0,1102721303.0
2016-05-05,2043.7,1609.0,1447.0,2249663995.0,1660424533.0
2016-05-06,2052.5,1083.0,1967.0,1404746385.0,2297180038.0
2016-05-09,2054.0,1646.0,1437.0,2330683316.0,1396093542.0
2016-05-10,2077.0,717.0,2357.0,675238611.0,2841649256.0
2016-05-11,2058.2,1952.0,1116.0,2376051923.0,1371078926.0
2016-05-12,2058.5,1593.0,1469.0,2316247404.0,1369720028.0
2016-05-13,2043.7,2049.0,1018.0,2785330987.0,693877055.0
2016-05-16,2062.7,735.0,2354.0,620863864.0,2786158353.0
2016-05-17,2044.0,1968.0,1106.0,2350538742.0,1658686845.0
2016-05-18,2041.5,2043.0,1051.0,2600688469.0,1415438531.0
2016-05-19,2038.5,2174.0,900.0,2428301593.0,1355143754.0
2016-05-20,2049.7,606.0,2471.0,911160768.0,2499248447.0
2016-05-23,2045.1,1557.0,1519.0,1757974582.0,1212849458.0
2016-05-24,2075.2,719.0,2355.0,1032847078.0,2546300064.0
2016-05-25,2087.5,980.0,2073.0,808307494.0,3003123437.0
2016-05-26,2090.0,1467.0,1603.0,1801749918.0,1326149287.0
2016-05-27,2097.0,1003.0,2069.0,1122011198.0,1840571405.0
2016-05-31,2095.0,1427.0,1652.0,1953145943.0,2230700945.0
2016-06-01,2098.0,1037.0,2027.0,1284616216.0,2152756354.0
2016-06-02,2103.5,1062.0,1992.0,1164159576.0,2341792906.0
2016-06-03,2097.7,1407.0,1672.0,1831483224.0,1703052908.0
2016-06-06,2108.0,937.0,2152.0,775303954.0,2599388271.0
2016-06-07,2110.5,1138.0,1914.0,1332079876.0,2097443848.0
2016-06-08,2118.0,986.0,2056.0,1128121320.0,2353189567.0
2016-06-09,2113.8,1899.0,1163.0,2184211461.0,1058338203.0
2016-06-10,2096.0,2460.0,597.0,2933905015.0,520710546.0
2016-06-13,2078.7,2317.0,757.0,2648456176.0,664574534.0
2016-06-14,2074.0,2002.0,1061.0,2690494866.0,991388714.0
2016-06-15,2071.5,1196.0,1865.0,1257573911.0,2190550774.0
2016-06-16,2079.5,1566.0,1494.0,2053432965.0,1471297138.0
2016-06-17,2079.12,1201.0,1872.0,1644943684.0,3076886086.0
2016-06-20,2074.0,717.0,2383.0,665689902.0,2743032036.0
2016-06-21,2080.5,1325.0,1719.0,1211347863.0,1918816936.0
2016-06-22,2076.5,1775.0,1268.0,1942883629.0,1119645781.0
2016-06-23,2106.0,527.0,2562.0,358995048.0,2871715784.0
2016-06-24,2019.0,2628.0,501.0,6133491972.0,589842182.0
2016-06-27,1985.5,2534.0,598.0,4578203759.0,691685888.0
2016-06-28,2028.3,465.0,2656.0,417754814.0,3895551572.0
2016-06-29,2066.2,453.0,2661.0,406433457.0,3782400126.0
2016-06-30,2088.5,651.0,2451.0,1029489328.0,3415253079.0
2016-07-01,2095.3,1106.0,1945.0,1070093055.0,2275889275.0
2016-07-05,2083.0,2266.0,827.0,2832608321.0,769243321.0
2016-07-06,2093.7,1091.0,1952.0,1199851962.0,2546628530.0
2016-07-07,2092.0,1396.0,1648.0,1744577913.0,1774755568.0
2016-07-08,2120.0,370.0,2711.0,212965102.0,3326076797.0
2016-07-11,2130.5,970.0,2099.0,866506718.0,2329774615.0
2016-07-12,2145.5,910.0,2169.0,842043367.0,3184047032.0
2016-07-13,2146.5,1627.0,1428.0,1892066775.0,1548284855.0
2016-07-14,2157.0,1325.0,1748.0,1014828052.0,2321594393.0
