Date,S&P PUT-CALL RATIO,S&P PUT VOLUME,S&P CALL VOLUME,PREV. DAY OPEN INTEREST
2016-06-08,1.39,560169.0,402244.0,962413.0
2016-06-09,1.56,543939.0,348061.0,892000.0
2016-06-10,1.78,812123.0,455308.0,1267431.0
2016-06-13,2.01,782198.0,389241.0,1171439.0
2016-06-14,2.06,951893.0,462942.0,1414835.0
2016-06-15,2.32,962192.0,414174.0,1376366.0
2016-06-16,1.88,998495.0,529840.0,1528335.0
2016-06-17,1.92,891012.0,463144.0,1354156.0
2016-06-20,1.79,666496.0,373035.0,1039531.0
2016-06-21,2.09,780302.0,373217.0,1153519.0
2016-06-22,1.54,841106.0,546273.0,1387379.0
2016-06-23,1.81,815955.0,450992.0,1266947.0
2016-06-24,2.02,1453818.0,720750.0,2174568.0
2016-06-27,1.56,1317964.0,843796.0,2161760.0
2016-06-28,1.54,1030103.0,668173.0,1698276.0
2016-06-29,1.6,1197790.0,747298.0,1945088.0
2016-06-30,1.54,1253489.0,811693.0,2065182.0
2016-07-01,1.79,970321.0,541260.0,1511581.0
2016-07-05,2.2,745175.0,338910.0,1084085.0
2016-07-06,1.64,727611.0,442861.0,1170472.0
2016-07-07,1.44,692448.0,482490.0,1174938.0
2016-07-08,1.03,975363.0,943202.0,1918565.0
2016-07-11,0.98,815180.0,835478.0,1650658.0
2016-07-12,1.08,869858.0,808355.0,1678213.0
2016-07-13,1.23,650390.0,527134.0,1177524.0
2016-07-14,0.92,782196.0,846927.0,1629123.0
2016-07-15,1.57,740652.0,472181.0,1212833.0
2016-07-18,1.47,623780.0,423310.0,1047090.0
2016-07-19,1.58,492177.0,311167.0,803344.0
2016-07-20,1.18,863611.0,730049.0,1593660.0
2016-07-21,1.66,568146.0,342463.0,910609.0
2016-07-22,1.67,645516.0,386869.0,1032385.0
2016-07-25,1.37,509429.0,372164.0,881593.0
2016-07-26,1.42,405430.0,284899.0,690329.0
2016-07-27,1.38,529026.0,383963.0,912989.0
2016-07-28,1.42,712362.0,500676.0,1213038.0
2016-07-29,1.64,843575.0,513601.0,1357176.0
2016-08-01,1.84,571530.0,311366.0,882896.0
2016-08-02,1.59,592310.0,372001.0,964311.0
2016-08-03,2.05,479452.0,233905.0,713357.0
2016-08-04,1.69,475477.0,280945.0,756422.0
2016-08-05,1.47,904559.0,615767.0,1520326.0
2016-08-08,1.43,591667.0,413190.0,1004857.0
2016-08-09,1.59,510331.0,321186.0,831517.0
2016-08-10,1.5,568505.0,379127.0,947632.0
2016-08-11,1.57,529780.0,337239.0,867019.0
